"schema_attribute_key","schema_table_key","tablename","tableattribute","data_type"
"test_etl_db1|product_type|product_type_name","test_etl_db1|product_type","product_type","product_type_name","TEXT"
"test_etl_db1|sales_order|customer_id","test_etl_db1|sales_order","sales_order","customer_id","TEXT"
"test_etl_db1|sales_order|description","test_etl_db1|sales_order","sales_order","description","TEXT"
"test_etl_db1|sales_order|order_date","test_etl_db1|sales_order","sales_order","order_date","TEXT"
"test_etl_db1|sales_order|order_id","test_etl_db1|sales_order","sales_order","order_id","TEXT"
"test_etl_db1|sales_order|order_type","test_etl_db1|sales_order","sales_order","order_type","TEXT"
"test_etl_db1|sales_order|product_type_name","test_etl_db1|sales_order","sales_order","product_type_name","TEXT"
"test_etl_db1|sales_order|quantity","test_etl_db1|sales_order","sales_order","quantity","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|activeflag","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","activeflag","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|leftattribute","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","leftattribute","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|leftattributeid","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","leftattributeid","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|leftattributevalue","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","leftattributevalue","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|mapby","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","mapby","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|matchrating","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","matchrating","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|pair_id","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","pair_id","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|predicate","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","predicate","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|reviewedby","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","reviewedby","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|rightattribute","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","rightattribute","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|rightattributevalue","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","rightattributevalue","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|righttattributeid","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","righttattributeid","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|row_id","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","row_id","INTEGER"
"test_etl_db1|st_mapping_set_detail_v3|set_id","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","set_id","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|specificvsgeneral","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","specificvsgeneral","TEXT"
"test_etl_db1|st_mapping_set_detail_v3|tranform_formula","test_etl_db1|st_mapping_set_detail_v3","st_mapping_set_detail_v3","tranform_formula","TEXT"
